PARLEMENT FLAMAND   11PVDA+                    231623      4NN01171023        F
Verkiezing van 01/04/2009 - KIESDISTRICT:HASSELT                              F
VLAAMS PARLEMENT                                                              F
OPVOLGERS                                                                     F
411DAMEN                    Sven                                              E
411NIMMEGEERS               Stany                                             E
411DAMEN                    Sven                                              E
411VAN DOORSLAER            Fred                                              E
411SCHRIJVERS               Gilbert                                           E
411GEELEN                   Bertha                                            E
411THOOLEN                  Milly                                             E
411™ZGšNES                  Belgin                                            E
411DEWITTE                  Harrie                                            E
411BOOMS                    Bianca                                            E
411MARTENS                  Marc                                              E
411AENDEKERK                Myriam                                            E
411SAEYS                    Roger                                             E
411CANT                     Andr‚                                             E
411COLLIN                   Nini                                              E
411HUYSMANS                 Marleen                                           E
411NIMMEGEERS               Stany                                             E
411DAMEN                    Sven                                              E
411VAN DOORSLAER            Fred                                              E
411SCHRIJVERS               Gilbert                                           E
411GEELEN                   Bertha                                            E
411THOOLEN                  Milly                                             E
411DEWITTE-DESMEDT          Gina                                              E
411HENDERICKX               Staf                                              S
411FRANSSEN                 Peter                                             S
411HOOYBERGHS               Wies                                              S
411LENAERTS                 Griet                                             S
411THOMAS                   Johan                                             S
411LOWIE                    Jet                                               S
411VEULEMANS                Herman                                            S
411SEUTENS                  Nelly                                             S
411PASTERNAK                Elisabeth                                         S
411BOOMS                    Bianca                                            S
411THOOLEN                  Milly                                             S
411NORGA                    Lieveke                                           S
411NIMMEGEERS               Stany                                             S
411DAMEN                    Sven                                              S
411DE WITTE                 Willem                                            S
411VANDUFFEL                Michel                                            S
